COUNTRY	INDUSTRY	YEAR	Nominal Value Added	Real Value Added	Employment	Total Hours	Total Labor Cost	National Currency per US dollar	Consumer Price Index (2010=100)	
AUS	C	1986	"41,741"	"75,013"	"1,145"	"2,211"	"30,151"	0.671	44.511	
AUS	C	1987	"45,132"	"79,455"	"1,155"	"2,248"	"31,079"	0.701	48.309	
AUS	C	1988	"49,838"	"84,506"	"1,192"	"2,361"	"31,619"	0.784	51.795	
AUS	C	1989	"54,471"	"86,532"	"1,230"	"2,418"	"33,206"	0.792	55.697	
AUS	C	1990	"55,181"	"85,326"	"1,195"	"2,370"	"34,247"	0.781	59.781	
AUS	C	1991	"53,947"	"82,365"	"1,118"	"2,186"	"34,361"	0.779	61.681	
AUS	C	1992	"56,383"	"81,325"	"1,108"	"2,188"	"35,135"	0.735	62.305	
AUS	C	1993	"60,506"	"84,841"	"1,095"	"2,171"	"36,277"	0.680	63.398	
AUS	C	1994	"64,433"	"88,741"	"1,130"	"2,289"	"37,810"	0.732	64.646	
AUS	C	1995	"67,085"	"88,958"	"1,141"	"2,303"	"40,684"	0.741	67.638	
AUS	C	1996	"68,805"	"91,819"	"1,137"	"2,285"	"42,696"	0.783	69.407	
AUS	C	1997	"72,101"	"93,360"	"1,157"	"2,320"	"43,548"	0.744	69.563	
AUS	C	1998	"75,108"	"96,648"	"1,119"	"2,241"	"44,743"	0.629	70.161	
AUS	C	1999	"76,195"	"97,310"	"1,099"	"2,214"	"45,547"	0.645	71.202	
AUS	C	2000	"77,410"	"101,317"	"1,142"	"2,282"	"46,857"	0.582	74.376	
AUS	C	2001	"78,876"	"101,346"	"1,112"	"2,221"	"48,243"	0.518	77.653	
AUS	C	2002	"83,426"	"105,841"	"1,127"	"2,251"	"50,611"	0.544	79.969	
AUS	C	2003	"90,293"	"108,668"	"1,104"	"2,202"	"53,017"	0.652	82.154	
AUS	C	2004	"94,773"	"109,036"	"1,109"	"2,209"	"54,625"	0.737	84.079	
AUS	C	2005	"98,150"	"107,846"	"1,087"	"2,163"	"57,806"	0.764	86.342	
AUS	C	2006	"98,899"	"108,312"	"1,082"	"2,142"	"59,387"	0.753	89.412	
AUS	C	2007	"103,115"	"110,635"	"1,103"	"2,167"	"62,718"	0.839	91.493	
AUS	C	2008	"109,691"	"114,108"	"1,124"	"2,214"	"66,179"	0.855	95.473	
AUS	C	2009	"103,828"	"105,772"	"1,073"	"2,066"	"63,341"	0.791	97.164	
AUS	C	2010	"104,571"	"109,253"	"1,062"	"2,075"	"64,336"	0.919	100.000	
AUS	C	2011	"105,749"	"109,301"	"1,026"	"2,015"	"67,767"	1.032	103.304	
AUS	C	2012	"103,043"	"107,375"	"1,036"	"2,020"	"67,692"	1.036	105.125	
AUS	C	2013	"101,920"	"105,025"	994	"1,931"	"67,762"	0.968	107.700	
AUS	C	2014	"101,725"	"103,623"	"1,004"	"1,909"	"67,189"	0.903	110.380	
AUS	C	2015	"101,837"	"102,142"	972	"1,873"	"66,747"	0.753	112.045	
AUS	C	2016	"99,550"	"99,511"	982	"1,881"	"65,837"	0.744	113.476	
AUS	C	2017	"103,559"	"100,268"	964	"1,858"	"65,773"	0.767	115.687	
AUS	C	2018								
AUS	10-12	1950						1.120	4.553	
AUS	10-12	1951						1.121	5.437	
AUS	10-12	1952						1.121	6.374	
AUS	10-12	1953						1.121	6.660	
AUS	10-12	1954						1.121	6.764	
AUS	10-12	1955						1.121	6.868	
AUS	10-12	1956						1.121	7.258	
AUS	10-12	1957						1.121	7.466	
AUS	10-12	1958						1.121	7.518	
AUS	10-12	1959						1.121	7.674	
AUS	10-12	1960						1.121	7.960	
AUS	10-12	1961						1.121	8.143	
AUS	10-12	1962						1.121	8.117	
AUS	10-12	1963						1.121	8.169	
AUS	10-12	1964						1.121	8.403	
AUS	10-12	1965						1.121	8.689	
AUS	10-12	1966						1.121	8.975	
AUS	10-12	1967						1.121	9.287	
AUS	10-12	1968						1.121	9.521	
AUS	10-12	1969						1.121	9.834	
AUS	10-12	1970						1.121	10.172	
AUS	10-12	1971						1.134	10.796	
AUS	10-12	1972						1.193	11.446	
AUS	10-12	1973						1.423	12.487	
AUS	10-12	1974						1.437	14.412	
AUS	10-12	1975						1.310	16.597	
AUS	10-12	1976						1.223	18.809	
AUS	10-12	1977		"15,608"				1.110	21.124	
AUS	10-12	1978		"15,691"				1.145	22.815	
AUS	10-12	1979		"15,833"				1.119	24.896	
AUS	10-12	1980		"15,987"				1.140	27.419	
AUS	10-12	1981		"16,117"				1.149	30.021	
AUS	10-12	1982		"16,123"				1.017	33.429	
AUS	10-12	1983		"16,033"				0.902	36.785	
AUS	10-12	1984		"16,046"				0.880	38.241	
AUS	10-12	1985		"15,979"				0.701	40.817	
AUS	10-12	1986		"16,332"				0.671	44.511	
AUS	10-12	1987		"17,321"				0.701	48.309	
AUS	10-12	1988		"18,060"				0.784	51.795	
AUS	10-12	1989		"18,365"				0.792	55.697	
AUS	10-12	1990		"18,698"				0.781	59.781	
AUS	10-12	1991		"18,960"		358		0.779	61.681	
AUS	10-12	1992		"19,044"		380		0.735	62.305	
AUS	10-12	1993		"19,483"		352		0.680	63.398	
AUS	10-12	1994		"19,934"		359		0.732	64.646	
AUS	10-12	1995		"20,491"		375		0.741	67.638	
AUS	10-12	1996		"21,037"		379		0.783	69.407	
AUS	10-12	1997		"21,890"		402		0.744	69.563	
AUS	10-12	1998		"23,148"		378		0.629	70.161	
AUS	10-12	1999		"23,828"		347		0.645	71.202	
AUS	10-12	2000		"24,541"		370		0.582	74.376	
AUS	10-12	2001		"25,073"		377		0.518	77.653	
AUS	10-12	2002		"25,199"		376		0.544	79.969	
AUS	10-12	2003		"25,328"		370		0.652	82.154	
AUS	10-12	2004		"25,489"		397		0.737	84.079	
AUS	10-12	2005		"25,481"		391		0.764	86.342	
AUS	10-12	2006		"25,490"		392		0.753	89.412	
AUS	10-12	2007		"25,666"		412		0.839	91.493	
AUS	10-12	2008		"25,237"		412		0.855	95.473	
AUS	10-12	2009		"25,196"		388		0.791	97.164	
AUS	10-12	2010		"25,549"		400		0.919	100.000	
AUS	10-12	2011		"25,826"		391		1.032	103.304	
AUS	10-12	2012		"26,436"		391		1.036	105.125	
AUS	10-12	2013		"26,683"		386		0.968	107.700	
AUS	10-12	2014		"26,284"		416		0.903	110.380	
AUS	10-12	2015		"25,664"		415		0.753	112.045	
AUS	10-12	2016		"25,881"				0.744	113.476	
AUS	10-12	2017						0.767	115.687	
AUS	10-12	2018								
AUS	10	1950						1.120	4.553	
AUS	10	1951						1.121	5.437	
AUS	10	1952						1.121	6.374	
AUS	10	1953						1.121	6.660	
AUS	10	1954						1.121	6.764	
AUS	10	1955						1.121	6.868	
AUS	10	1956						1.121	7.258	
AUS	10	1957						1.121	7.466	
AUS	10	1958						1.121	7.518	
AUS	10	1959						1.121	7.674	
AUS	10	1960						1.121	7.960	
AUS	10	1961						1.121	8.143	
AUS	10	1962						1.121	8.117	
AUS	10	1963						1.121	8.169	
AUS	10	1964						1.121	8.403	
AUS	10	1965						1.121	8.689	
AUS	10	1966						1.121	8.975	
AUS	10	1967						1.121	9.287	
AUS	10	1968						1.121	9.521	
AUS	10	1969						1.121	9.834	
AUS	10	1970						1.121	10.172	
AUS	10	1971						1.134	10.796	
AUS	10	1972						1.193	11.446	
AUS	10	1973						1.423	12.487	
AUS	10	1974						1.437	14.412	
AUS	10	1975						1.310	16.597	
AUS	10	1976						1.223	18.809	
AUS	10	1977						1.110	21.124	
AUS	10	1978						1.145	22.815	
AUS	10	1979						1.119	24.896	
AUS	10	1980						1.140	27.419	
AUS	10	1981						1.149	30.021	
AUS	10	1982						1.017	33.429	
AUS	10	1983						0.902	36.785	
AUS	10	1984						0.880	38.241	
AUS	10	1985						0.701	40.817	
AUS	10	1986						0.671	44.511	
AUS	10	1987						0.701	48.309	
AUS	10	1988						0.784	51.795	
AUS	10	1989						0.792	55.697	
AUS	10	1990						0.781	59.781	
AUS	10	1991				313		0.779	61.681	
AUS	10	1992				330		0.735	62.305	
AUS	10	1993				309		0.680	63.398	
AUS	10	1994				320		0.732	64.646	
AUS	10	1995				330		0.741	67.638	
AUS	10	1996				337		0.783	69.407	
AUS	10	1997				360		0.744	69.563	
AUS	10	1998				334		0.629	70.161	
AUS	10	1999				305		0.645	71.202	
AUS	10	2000				320		0.582	74.376	
AUS	10	2001				326		0.518	77.653	
AUS	10	2002				323		0.544	79.969	
AUS	10	2003				315		0.652	82.154	
AUS	10	2004				333		0.737	84.079	
AUS	10	2005				328		0.764	86.342	
AUS	10	2006				337		0.753	89.412	
AUS	10	2007				354		0.839	91.493	
AUS	10	2008				351		0.855	95.473	
AUS	10	2009				333		0.791	97.164	
AUS	10	2010				344		0.919	100.000	
AUS	10	2011				332		1.032	103.304	
AUS	10	2012				330		1.036	105.125	
AUS	10	2013				328		0.968	107.700	
AUS	10	2014				360		0.903	110.380	
AUS	10	2015				358		0.753	112.045	
AUS	10	2016						0.744	113.476	
AUS	10	2017						0.767	115.687	
AUS	10	2018								
AUS	11	1950						1.120	4.553	
AUS	11	1951						1.121	5.437	
AUS	11	1952						1.121	6.374	
AUS	11	1953						1.121	6.660	
AUS	11	1954						1.121	6.764	
AUS	11	1955						1.121	6.868	
AUS	11	1956						1.121	7.258	
AUS	11	1957						1.121	7.466	
AUS	11	1958						1.121	7.518	
AUS	11	1959						1.121	7.674	
AUS	11	1960						1.121	7.960	
AUS	11	1961						1.121	8.143	
AUS	11	1962						1.121	8.117	
AUS	11	1963						1.121	8.169	
AUS	11	1964						1.121	8.403	
AUS	11	1965						1.121	8.689	
AUS	11	1966						1.121	8.975	
AUS	11	1967						1.121	9.287	
AUS	11	1968						1.121	9.521	
AUS	11	1969						1.121	9.834	
AUS	11	1970						1.121	10.172	
AUS	11	1971						1.134	10.796	
AUS	11	1972						1.193	11.446	
AUS	11	1973						1.423	12.487	
AUS	11	1974						1.437	14.412	
AUS	11	1975						1.310	16.597	
AUS	11	1976						1.223	18.809	
AUS	11	1977						1.110	21.124	
AUS	11	1978						1.145	22.815	
AUS	11	1979						1.119	24.896	
AUS	11	1980						1.140	27.419	
AUS	11	1981						1.149	30.021	
AUS	11	1982						1.017	33.429	
AUS	11	1983						0.902	36.785	
AUS	11	1984						0.880	38.241	
AUS	11	1985						0.701	40.817	
AUS	11	1986						0.671	44.511	
AUS	11	1987						0.701	48.309	
AUS	11	1988						0.784	51.795	
AUS	11	1989						0.792	55.697	
AUS	11	1990						0.781	59.781	
AUS	11	1991				38		0.779	61.681	
AUS	11	1992				40		0.735	62.305	
AUS	11	1993				36		0.680	63.398	
AUS	11	1994				34		0.732	64.646	
AUS	11	1995				39		0.741	67.638	
AUS	11	1996				38		0.783	69.407	
AUS	11	1997				39		0.744	69.563	
AUS	11	1998				41		0.629	70.161	
AUS	11	1999				39		0.645	71.202	
AUS	11	2000				45		0.582	74.376	
AUS	11	2001				45		0.518	77.653	
AUS	11	2002				49		0.544	79.969	
AUS	11	2003				52		0.652	82.154	
AUS	11	2004				60		0.737	84.079	
AUS	11	2005				58		0.764	86.342	
AUS	11	2006				49		0.753	89.412	
AUS	11	2007				53		0.839	91.493	
AUS	11	2008				57		0.855	95.473	
AUS	11	2009				50		0.791	97.164	
AUS	11	2010				54		0.919	100.000	
AUS	11	2011				57		1.032	103.304	
AUS	11	2012				59		1.036	105.125	
AUS	11	2013				54		0.968	107.700	
AUS	11	2014				54		0.903	110.380	
AUS	11	2015				55		0.753	112.045	
AUS	11	2016						0.744	113.476	
AUS	11	2017						0.767	115.687	
AUS	11	2018								
AUS	12	1950						1.120	4.553	
AUS	12	1951						1.121	5.437	
AUS	12	1952						1.121	6.374	
AUS	12	1953						1.121	6.660	
AUS	12	1954						1.121	6.764	
AUS	12	1955						1.121	6.868	
AUS	12	1956						1.121	7.258	
AUS	12	1957						1.121	7.466	
AUS	12	1958						1.121	7.518	
AUS	12	1959						1.121	7.674	
AUS	12	1960						1.121	7.960	
AUS	12	1961						1.121	8.143	
AUS	12	1962						1.121	8.117	
AUS	12	1963						1.121	8.169	
AUS	12	1964						1.121	8.403	
AUS	12	1965						1.121	8.689	
AUS	12	1966						1.121	8.975	
AUS	12	1967						1.121	9.287	
AUS	12	1968						1.121	9.521	
AUS	12	1969						1.121	9.834	
AUS	12	1970						1.121	10.172	
AUS	12	1971						1.134	10.796	
AUS	12	1972						1.193	11.446	
AUS	12	1973						1.423	12.487	
AUS	12	1974						1.437	14.412	
AUS	12	1975						1.310	16.597	
AUS	12	1976						1.223	18.809	
AUS	12	1977						1.110	21.124	
AUS	12	1978						1.145	22.815	
AUS	12	1979						1.119	24.896	
AUS	12	1980						1.140	27.419	
AUS	12	1981						1.149	30.021	
AUS	12	1982						1.017	33.429	
AUS	12	1983						0.902	36.785	
AUS	12	1984						0.880	38.241	
AUS	12	1985						0.701	40.817	
AUS	12	1986						0.671	44.511	
AUS	12	1987						0.701	48.309	
AUS	12	1988						0.784	51.795	
AUS	12	1989						0.792	55.697	
AUS	12	1990						0.781	59.781	
AUS	12	1991				7		0.779	61.681	
AUS	12	1992				10		0.735	62.305	
AUS	12	1993				7		0.680	63.398	
AUS	12	1994				5		0.732	64.646	
AUS	12	1995				6		0.741	67.638	
AUS	12	1996				4		0.783	69.407	
AUS	12	1997				3		0.744	69.563	
AUS	12	1998				4		0.629	70.161	
AUS	12	1999				3		0.645	71.202	
AUS	12	2000				4		0.582	74.376	
AUS	12	2001				5		0.518	77.653	
AUS	12	2002				4		0.544	79.969	
AUS	12	2003				4		0.652	82.154	
AUS	12	2004				4		0.737	84.079	
AUS	12	2005				5		0.764	86.342	
AUS	12	2006				6		0.753	89.412	
AUS	12	2007				4		0.839	91.493	
AUS	12	2008				5		0.855	95.473	
AUS	12	2009				4		0.791	97.164	
AUS	12	2010				3		0.919	100.000	
AUS	12	2011				2		1.032	103.304	
AUS	12	2012				3		1.036	105.125	
AUS	12	2013				4		0.968	107.700	
AUS	12	2014				2		0.903	110.380	
AUS	12	2015				2		0.753	112.045	
AUS	12	2016						0.744	113.476	
AUS	12	2017						0.767	115.687	
AUS	12	2018								
AUS	13-15	1950						1.120	4.553	
AUS	13-15	1951						1.121	5.437	
AUS	13-15	1952						1.121	6.374	
AUS	13-15	1953						1.121	6.660	
AUS	13-15	1954						1.121	6.764	
AUS	13-15	1955						1.121	6.868	
AUS	13-15	1956						1.121	7.258	
AUS	13-15	1957						1.121	7.466	
AUS	13-15	1958						1.121	7.518	
AUS	13-15	1959						1.121	7.674	
AUS	13-15	1960						1.121	7.960	
AUS	13-15	1961						1.121	8.143	
AUS	13-15	1962						1.121	8.117	
AUS	13-15	1963						1.121	8.169	
AUS	13-15	1964						1.121	8.403	
AUS	13-15	1965						1.121	8.689	
AUS	13-15	1966						1.121	8.975	
AUS	13-15	1967						1.121	9.287	
AUS	13-15	1968						1.121	9.521	
AUS	13-15	1969						1.121	9.834	
AUS	13-15	1970						1.121	10.172	
AUS	13-15	1971						1.134	10.796	
AUS	13-15	1972						1.193	11.446	
AUS	13-15	1973						1.423	12.487	
AUS	13-15	1974						1.437	14.412	
AUS	13-15	1975						1.310	16.597	
AUS	13-15	1976						1.223	18.809	
AUS	13-15	1977		"8,798"				1.110	21.124	
AUS	13-15	1978		"9,051"				1.145	22.815	
AUS	13-15	1979		"9,431"				1.119	24.896	
AUS	13-15	1980		"9,652"				1.140	27.419	
AUS	13-15	1981		"9,809"				1.149	30.021	
AUS	13-15	1982		"9,456"				1.017	33.429	
AUS	13-15	1983		"9,302"				0.902	36.785	
AUS	13-15	1984		"9,779"				0.880	38.241	
AUS	13-15	1985		"10,176"				0.701	40.817	
AUS	13-15	1986		"10,434"				0.671	44.511	
AUS	13-15	1987		"10,880"				0.701	48.309	
AUS	13-15	1988		"11,424"				0.784	51.795	
AUS	13-15	1989		"11,328"				0.792	55.697	
AUS	13-15	1990		"10,608"				0.781	59.781	
AUS	13-15	1991		"9,940"		198		0.779	61.681	
AUS	13-15	1992		"9,644"		200		0.735	62.305	
AUS	13-15	1993		"9,723"		206		0.680	63.398	
AUS	13-15	1994		"9,939"		208		0.732	64.646	
AUS	13-15	1995		"9,821"		192		0.741	67.638	
AUS	13-15	1996		"9,662"		190		0.783	69.407	
AUS	13-15	1997		"9,798"		182		0.744	69.563	
AUS	13-15	1998		"9,973"		170		0.629	70.161	
AUS	13-15	1999		"9,977"		169		0.645	71.202	
AUS	13-15	2000		"9,781"		163		0.582	74.376	
AUS	13-15	2001		"9,502"		144		0.518	77.653	
AUS	13-15	2002		"9,275"		130		0.544	79.969	
AUS	13-15	2003		"9,181"		110		0.652	82.154	
AUS	13-15	2004		"8,591"		99		0.737	84.079	
AUS	13-15	2005		"7,646"		91		0.764	86.342	
AUS	13-15	2006		"7,255"		88		0.753	89.412	
AUS	13-15	2007		"7,380"		77		0.839	91.493	
AUS	13-15	2008		"7,188"		77		0.855	95.473	
AUS	13-15	2009		"6,215"		82		0.791	97.164	
AUS	13-15	2010		"5,486"		79		0.919	100.000	
AUS	13-15	2011		"5,266"		71		1.032	103.304	
AUS	13-15	2012		"5,144"		69		1.036	105.125	
AUS	13-15	2013		"5,152"		59		0.968	107.700	
AUS	13-15	2014		"5,242"		54		0.903	110.380	
AUS	13-15	2015		"5,342"		57		0.753	112.045	
AUS	13-15	2016		"5,152"				0.744	113.476	
AUS	13-15	2017						0.767	115.687	
AUS	13-15	2018								
AUS	13	1950						1.120	4.553	
AUS	13	1951						1.121	5.437	
AUS	13	1952						1.121	6.374	
AUS	13	1953						1.121	6.660	
AUS	13	1954						1.121	6.764	
AUS	13	1955						1.121	6.868	
AUS	13	1956						1.121	7.258	
AUS	13	1957						1.121	7.466	
AUS	13	1958						1.121	7.518	
AUS	13	1959						1.121	7.674	
AUS	13	1960						1.121	7.960	
AUS	13	1961						1.121	8.143	
AUS	13	1962						1.121	8.117	
AUS	13	1963						1.121	8.169	
AUS	13	1964						1.121	8.403	
AUS	13	1965						1.121	8.689	
AUS	13	1966						1.121	8.975	
AUS	13	1967						1.121	9.287	
AUS	13	1968						1.121	9.521	
AUS	13	1969						1.121	9.834	
AUS	13	1970						1.121	10.172	
AUS	13	1971						1.134	10.796	
AUS	13	1972						1.193	11.446	
AUS	13	1973						1.423	12.487	
AUS	13	1974						1.437	14.412	
AUS	13	1975						1.310	16.597	
AUS	13	1976						1.223	18.809	
AUS	13	1977						1.110	21.124	
AUS	13	1978						1.145	22.815	
AUS	13	1979						1.119	24.896	
AUS	13	1980						1.140	27.419	
AUS	13	1981						1.149	30.021	
AUS	13	1982						1.017	33.429	
AUS	13	1983						0.902	36.785	
AUS	13	1984						0.880	38.241	
AUS	13	1985						0.701	40.817	
AUS	13	1986						0.671	44.511	
AUS	13	1987						0.701	48.309	
AUS	13	1988						0.784	51.795	
AUS	13	1989						0.792	55.697	
AUS	13	1990						0.781	59.781	
AUS	13	1991				60		0.779	61.681	
AUS	13	1992				61		0.735	62.305	
AUS	13	1993				64		0.680	63.398	
AUS	13	1994				64		0.732	64.646	
AUS	13	1995				57		0.741	67.638	
AUS	13	1996				59		0.783	69.407	
AUS	13	1997				64		0.744	69.563	
AUS	13	1998				61		0.629	70.161	
AUS	13	1999				57		0.645	71.202	
AUS	13	2000				54		0.582	74.376	
AUS	13	2001				49		0.518	77.653	
AUS	13	2002				48		0.544	79.969	
AUS	13	2003				43		0.652	82.154	
AUS	13	2004				37		0.737	84.079	
AUS	13	2005				30		0.764	86.342	
AUS	13	2006				33		0.753	89.412	
AUS	13	2007				29		0.839	91.493	
AUS	13	2008				29		0.855	95.473	
AUS	13	2009				35		0.791	97.164	
AUS	13	2010				30		0.919	100.000	
AUS	13	2011				23		1.032	103.304	
AUS	13	2012				22		1.036	105.125	
AUS	13	2013				18		0.968	107.700	
AUS	13	2014				18		0.903	110.380	
AUS	13	2015				21		0.753	112.045	
AUS	13	2016						0.744	113.476	
AUS	13	2017						0.767	115.687	
AUS	13	2018								
AUS	14	1950						1.120	4.553	
AUS	14	1951						1.121	5.437	
AUS	14	1952						1.121	6.374	
AUS	14	1953						1.121	6.660	
AUS	14	1954						1.121	6.764	
AUS	14	1955						1.121	6.868	
AUS	14	1956						1.121	7.258	
AUS	14	1957						1.121	7.466	
AUS	14	1958						1.121	7.518	
AUS	14	1959						1.121	7.674	
AUS	14	1960						1.121	7.960	
AUS	14	1961						1.121	8.143	
AUS	14	1962						1.121	8.117	
AUS	14	1963						1.121	8.169	
AUS	14	1964						1.121	8.403	
AUS	14	1965						1.121	8.689	
AUS	14	1966						1.121	8.975	
AUS	14	1967						1.121	9.287	
AUS	14	1968						1.121	9.521	
AUS	14	1969						1.121	9.834	
AUS	14	1970						1.121	10.172	
AUS	14	1971						1.134	10.796	
AUS	14	1972						1.193	11.446	
AUS	14	1973						1.423	12.487	
AUS	14	1974						1.437	14.412	
AUS	14	1975						1.310	16.597	
AUS	14	1976						1.223	18.809	
AUS	14	1977						1.110	21.124	
AUS	14	1978						1.145	22.815	
AUS	14	1979						1.119	24.896	
AUS	14	1980						1.140	27.419	
AUS	14	1981						1.149	30.021	
AUS	14	1982						1.017	33.429	
AUS	14	1983						0.902	36.785	
AUS	14	1984						0.880	38.241	
AUS	14	1985						0.701	40.817	
AUS	14	1986						0.671	44.511	
AUS	14	1987						0.701	48.309	
AUS	14	1988						0.784	51.795	
AUS	14	1989						0.792	55.697	
AUS	14	1990						0.781	59.781	
AUS	14	1991				129		0.779	61.681	
AUS	14	1992				130		0.735	62.305	
AUS	14	1993				130		0.680	63.398	
AUS	14	1994				129		0.732	64.646	
AUS	14	1995				122		0.741	67.638	
AUS	14	1996				114		0.783	69.407	
AUS	14	1997				105		0.744	69.563	
AUS	14	1998				102		0.629	70.161	
AUS	14	1999				102		0.645	71.202	
AUS	14	2000				97		0.582	74.376	
AUS	14	2001				83		0.518	77.653	
AUS	14	2002				75		0.544	79.969	
AUS	14	2003				63		0.652	82.154	
AUS	14	2004				58		0.737	84.079	
AUS	14	2005				58		0.764	86.342	
AUS	14	2006				51		0.753	89.412	
AUS	14	2007				43		0.839	91.493	
AUS	14	2008				44		0.855	95.473	
AUS	14	2009				43		0.791	97.164	
AUS	14	2010				45		0.919	100.000	
AUS	14	2011				45		1.032	103.304	
AUS	14	2012				45		1.036	105.125	
AUS	14	2013				38		0.968	107.700	
AUS	14	2014				32		0.903	110.380	
AUS	14	2015				31		0.753	112.045	
AUS	14	2016						0.744	113.476	
AUS	14	2017						0.767	115.687	
AUS	14	2018								
AUS	15	1950						1.120	4.553	
AUS	15	1951						1.121	5.437	
AUS	15	1952						1.121	6.374	
AUS	15	1953						1.121	6.660	
AUS	15	1954						1.121	6.764	
AUS	15	1955						1.121	6.868	
AUS	15	1956						1.121	7.258	
AUS	15	1957						1.121	7.466	
AUS	15	1958						1.121	7.518	
AUS	15	1959						1.121	7.674	
AUS	15	1960						1.121	7.960	
AUS	15	1961						1.121	8.143	
AUS	15	1962						1.121	8.117	
AUS	15	1963						1.121	8.169	
AUS	15	1964						1.121	8.403	
AUS	15	1965						1.121	8.689	
AUS	15	1966						1.121	8.975	
AUS	15	1967						1.121	9.287	
AUS	15	1968						1.121	9.521	
AUS	15	1969						1.121	9.834	
AUS	15	1970						1.121	10.172	
AUS	15	1971						1.134	10.796	
AUS	15	1972						1.193	11.446	
AUS	15	1973						1.423	12.487	
AUS	15	1974						1.437	14.412	
AUS	15	1975						1.310	16.597	
AUS	15	1976						1.223	18.809	
AUS	15	1977						1.110	21.124	
AUS	15	1978						1.145	22.815	
AUS	15	1979						1.119	24.896	
AUS	15	1980						1.140	27.419	
AUS	15	1981						1.149	30.021	
AUS	15	1982						1.017	33.429	
AUS	15	1983						0.902	36.785	
AUS	15	1984						0.880	38.241	
AUS	15	1985						0.701	40.817	
AUS	15	1986						0.671	44.511	
AUS	15	1987						0.701	48.309	
AUS	15	1988						0.784	51.795	
AUS	15	1989						0.792	55.697	
AUS	15	1990						0.781	59.781	
AUS	15	1991				8		0.779	61.681	
AUS	15	1992				9		0.735	62.305	
AUS	15	1993				13		0.680	63.398	
AUS	15	1994				15		0.732	64.646	
AUS	15	1995				12		0.741	67.638	
AUS	15	1996				17		0.783	69.407	
AUS	15	1997				13		0.744	69.563	
AUS	15	1998				7		0.629	70.161	
AUS	15	1999				9		0.645	71.202	
AUS	15	2000				11		0.582	74.376	
AUS	15	2001				11		0.518	77.653	
AUS	15	2002				8		0.544	79.969	
AUS	15	2003				5		0.652	82.154	
AUS	15	2004				4		0.737	84.079	
AUS	15	2005				4		0.764	86.342	
AUS	15	2006				4		0.753	89.412	
AUS	15	2007				5		0.839	91.493	
AUS	15	2008				4		0.855	95.473	
AUS	15	2009				4		0.791	97.164	
AUS	15	2010				4		0.919	100.000	
AUS	15	2011				3		1.032	103.304	
AUS	15	2012				2		1.036	105.125	
AUS	15	2013				2		0.968	107.700	
AUS	15	2014				4		0.903	110.380	
AUS	15	2015				4		0.753	112.045	
AUS	15	2016						0.744	113.476	
AUS	15	2017						0.767	115.687	
AUS	15	2018								
AUS	16-18	1950						1.120	4.553	
AUS	16-18	1951						1.121	5.437	
AUS	16-18	1952						1.121	6.374	
AUS	16-18	1953						1.121	6.660	
AUS	16-18	1954						1.121	6.764	
AUS	16-18	1955						1.121	6.868	
AUS	16-18	1956						1.121	7.258	
AUS	16-18	1957						1.121	7.466	
