CODE;COUNTRY;SUB-CHAPTER;TITLE;UNIT;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
DEU.1.0.0.0.UWCD;Germany;01 Compensation of employees;Compensation of employees: total economy ;Mrd EURO-DEM;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;853.459;926.427;948.855;974.663;1011.385;1020.661;1024.739;1046.887;1077.083;1120.347;1138.370;1145.070;1148.715;1152.296;1150.761;1170.728;1204.279;1250.708;1256.914;1293.606;1349.842;1403.513;1444.171;1501.769;1561.976;1622.728;1693.096;1771.221;1852.846;1847.868;1916.905;2000.448;2093.208                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
D_W.1.0.0.0.UWCD;West Germany;01 Compensation of employees;Compensation of employees: total economy ;Mrd EURO-DEM;73.4467;82.9277;91.7520;98.4318;107.7024;119.5177;128.6857;128.4395;137.9256;155.2560;184.3300;208.9300;231.6400;263.6400;291.6300;304.7300;329.3700;353.6100;377.5100;408.7700;444.3300;465.9800;480.6000;491.2700;510.5000;530.9100;559.1400;584.5300;609.1000;637.2800;689.5300;751.8500;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
EST.1.0.0.0.UWCD;Estonia;01 Compensation of employees;Compensation of employees: total economy ;Mrd EURO-EEK;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.70582;1.05760;1.44840;1.80770;2.16358;2.39506;2.46960;2.78387;3.10188;3.42485;3.84951;4.26717;4.92157;5.90041;7.33987;8.19518;7.04694;6.86362;7.45161;7.99700;8.53081;9.16891;9.76107;10.37967;11.31765;12.37333;13.55674;13.89481;14.91151;16.05970;16.94298                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
IRL.1.0.0.0.UWCD;Ireland;01 Compensation of employees;Compensation of employees: total economy ;Mrd EURO-IEP;0.3747;0.4101;0.4544;0.4893;0.5678;0.6049;0.6564;0.7117;0.7982;0.9234;1.0774;1.2486;1.4593;1.7766;2.1511;2.7515;3.2727;3.8671;4.6179;5.7326;7.1224;8.4401;9.6304;10.5257;11.4229;12.2438;13.0900;13.7686;14.5887;15.5724;16.8375;17.8948;19.2113;20.6920;22.0144;23.9657;26.0921;29.0793;32.7441;36.8657;41.9234;46.8948;50.2038;54.6721;59.3938;66.1600;72.8451;79.7817;81.8207;74.3969;69.6447;68.6350;69.2837;70.2141;72.9870;77.4146;82.4707;88.2695;93.8147;100.5025;101.1835;109.4222;116.9724;126.9150                                                                                                                                                                                                                                                                                                                                                                                               
GRC.1.0.0.0.UWCD;Greece;01 Compensation of employees;Compensation of employees: total economy ;Mrd EURO-GRD;0.09710;0.10576;0.11534;0.12617;0.14410;0.16606;0.18987;0.21213;0.23749;0.26563;0.29655;0.33304;0.38592;0.46601;0.56929;0.70103;0.88811;1.10921;1.37732;1.72335;2.07556;2.57095;3.30661;3.98073;4.86884;6.06928;6.81638;7.66955;9.46773;11.93601;14.51284;16.60268;18.58504;20.86171;23.56956;27.20397;29.63406;33.76167;37.45874;40.74166;43.48162;46.90618;54.04809;59.46146;64.13794;68.27067;73.06611;78.44090;82.94743;84.87450;80.47399;74.33089;67.85326;62.26307;62.54083;61.77031;62.99194;63.85342;65.90005;67.47632;65.79577;66.89797;70.17597;72.56195                                                                                                                                                                                                                                                                                                                                           
ESP.1.0.0.0.UWCD;Spain;01 Compensation of employees;Compensation of employees: total economy ;Mrd EURO-ESP;1.7952;2.0285;2.3527;2.8619;3.2770;3.8659;4.6210;5.3578;5.9175;6.7706;7.6579;8.8718;10.7766;13.1398;16.3037;19.8679;24.4394;31.0255;38.0441;44.3590;50.2604;56.3898;63.8285;72.1895;77.1898;83.8300;94.9457;106.7644;119.6880;135.7286;156.7127;176.2715;191.9188;200.4283;207.1143;219.8180;232.0760;251.7160;270.2020;290.3900;316.2240;336.8940;358.6510;379.8360;405.3630;435.0330;471.4510;508.4240;544.1260;530.0450;526.8130;513.3280;481.4000;467.5210;473.5310;492.8920;503.7240;523.6650;545.7180;575.8890;543.8560;572.9700;608.4941;636.7891                                                                                                                                                                                                                                                                                                                                                      
FRA.1.0.0.0.UWCD;France;01 Compensation of employees;Compensation of employees: total economy ;Mrd EURO-FRF;21.005;23.487;26.554;30.396;33.879;36.590;39.458;42.671;48.026;54.985;62.434;70.429;78.729;90.584;108.284;127.762;148.592;168.994;191.414;217.398;249.939;283.796;325.576;357.697;384.137;406.582;426.650;445.178;470.148;500.487;534.318;557.854;579.326;588.763;600.828;622.234;639.569;656.177;681.060;712.455;751.506;785.431;817.774;841.720;871.162;903.162;942.012;979.930;1010.192;1013.013;1040.212;1068.929;1092.356;1109.469;1126.701;1141.421;1163.287;1199.841;1231.533;1242.871;1194.661;1277.602;1341.993;1391.647                                                                                                                                                                                                                                                                                                                                                                            
HRV.1.0.0.0.UWCD;Croatia;01 Compensation of employees;Compensation of employees: total economy ;Mrd HRK;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;53.4323;60.7774;70.0956;79.8760;85.4166;91.5597;93.3971;103.7466;114.7133;122.0416;129.6327;139.1178;152.8913;164.6115;163.4115;158.5394;157.9968;156.3741;153.4559;154.1801;157.1252;161.4292;168.8908;180.8334;186.8855;188.4757;199.8896;208.8846;218.2844                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ITA.1.0.0.0.UWCD;Italy;01 Compensation of employees;Compensation of employees: total economy ;Mrd EURO-ITL;5.1785;5.7559;6.6970;8.1479;9.0758;9.6228;10.2912;11.3831;12.3773;13.6379;15.9473;18.3310;20.4253;24.5502;30.6854;37.0055;45.4587;55.4414;64.2158;77.8694;95.8482;116.5568;135.7490;155.9511;173.9633;194.2784;209.9191;227.7025;249.8440;273.7196;306.2938;335.6087;351.6769;358.5632;366.7209;381.0804;406.9275;426.4766;424.9045;440.1697;457.9404;482.8456;505.2862;526.4100;545.6142;569.2300;594.8453;617.3445;639.2773;634.8194;642.6246;651.4771;642.5680;636.5553;638.3594;651.5832;667.2222;684.0541;706.9777;721.5226;672.8022;724.6285;760.9812;785.8240                                                                                                                                                                                                                                                                                                                                          
CYP.1.0.0.0.UWCD;Cyprus;01 Compensation of employees;Compensation of employees: total economy ;Mrd EURO-CYP;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.09787;3.27471;3.49614;3.66663;3.90763;4.20960;4.48594;4.83821;5.36485;5.71580;6.38534;6.93096;7.63106;8.37927;8.92285;9.22378;9.51737;9.37561;8.34282;7.86996;7.89609;8.19685;8.80169;9.44147;10.26431;9.88473;10.47460;10.99833;11.71322                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
LVA.1.0.0.0.UWCD;Latvia;01 Compensation of employees;Compensation of employees: total economy ;Mrd EURO-LVL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.04340;0.08876;0.54544;1.00601;1.36140;1.66799;2.08335;2.31523;2.51524;2.68395;2.83856;3.00116;3.21521;3.67155;4.23361;5.47593;7.07483;9.98656;11.75203;8.84060;7.71056;8.03855;8.75263;9.44924;10.09555;10.89371;11.60910;12.52565;13.90981;14.97079;15.21806;16.42672;17.46160;18.59661                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
LTU.1.0.0.0.UWCD;Lithuania;01 Compensation of employees;Compensation of employees: total economy ;Mrd EURO-LTL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.05497;0.37193;1.33143;2.01459;2.90195;3.69065;4.53640;5.41539;5.45377;5.22285;5.36529;5.81031;6.44304;7.31009;8.52002;10.27730;12.32590;14.35507;11.97825;11.46997;12.27743;12.96340;13.73620;14.60816;15.64450;17.01226;18.56173;20.38407;22.65702;23.97957;27.01281;29.41675;31.25699                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
LUX.1.0.0.0.UWCD;Luxembourg;01 Compensation of employees;Compensation of employees: total economy ;Mrd EURO-LUF;0.30273;0.31889;0.33934;0.36948;0.43345;0.46165;0.49400;0.50571;0.53803;0.58207;0.69056;0.77469;0.88210;1.01099;1.29114;1.48100;1.65107;1.82170;1.92307;2.07910;2.29829;2.52397;2.69934;2.88044;3.11030;3.30216;3.57063;3.82884;4.10544;4.63213;5.08495;5.60338;6.13750;6.60911;7.05953;7.34435;7.74312;8.21066;8.68380;9.55427;10.65604;11.63848;12.45955;12.87171;13.64810;14.61204;15.84229;17.25097;18.56726;19.02172;19.73589;21.10747;21.90433;22.98006;24.04154;25.05809;25.99445;27.76546;29.61424;31.24807;31.93116;34.63162;37.22899;39.51485                                                                                                                                                                                                                                                                                                                                                  
HUN.1.0.0.0.UWCD;Hungary;01 Compensation of employees;Compensation of employees: total economy ;Mrd HUF;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1601.72;1900.99;2210.13;2627.87;3161.20;3901.40;4592.38;5019.21;5910.39;6907.15;7692.35;8700.79;9587.32;10425.29;11092.95;11744.39;12334.32;11893.49;11943.68;12401.25;12883.30;13254.80;13993.40;14594.67;15503.99;16861.71;18300.03;19716.36;20004.13;22215.68;24618.20;26401.59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
MLT.1.0.0.0.UWCD;Malta;01 Compensation of employees;Compensation of employees: total economy ;Mrd EURO-MTL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.855238;0.948969;1.028302;1.147878;1.230992;1.387540;1.494470;1.554130;1.645240;1.723010;1.797390;1.940940;2.008170;2.132520;2.171440;2.236450;2.385440;2.514990;2.676970;2.740830;2.869220;3.070940;3.246020;3.455790;3.716730;4.096650;4.498490;4.984290;5.464320;5.980610;6.084910;6.533460;6.925468;7.271741                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
NLD.1.0.0.0.UWCD;Netherlands;01 Compensation of employees;Compensation of employees: total economy ;Mrd EURO-NLG;10.3202;11.3316;12.4515;13.8898;16.5760;18.7799;21.1280;23.0590;25.4294;29.4617;33.7369;38.7704;43.4215;50.3261;58.4837;66.1836;73.5543;80.4302;87.2763;93.9727;99.8207;102.0709;105.1716;106.5564;107.0502;111.1194;115.9224;119.8834;123.2209;127.0343;134.9859;143.3824;151.8320;156.1296;159.9270;165.4850;171.9050;181.5520;194.5910;209.5440;226.6910;239.0700;251.0610;257.8550;261.5940;265.7860;274.6300;290.4220;307.6060;312.1960;311.7170;319.5570;323.8670;324.6760;328.1660;330.2670;340.5860;352.8180;369.8400;388.8690;402.5760;419.3370;441.5619;463.1984                                                                                                                                                                                                                                                                                                                              
AUT.1.0.0.0.UWCD;Austria;01 Compensation of employees;Compensation of employees: total economy ;Mrd EURO-ATS;5.5429;6.1780;6.7278;7.2475;7.9768;8.7839;9.6806;10.4801;11.1107;12.1161;13.2610;15.3254;17.4139;20.3931;23.7608;26.6699;29.3753;32.3913;35.4396;37.7188;40.6767;43.7740;45.6878;47.3363;49.8254;52.7192;55.8705;58.0949;60.3426;64.1163;69.0920;74.9125;79.9459;83.3629;86.9700;90.0530;91.1901;92.7919;96.2767;99.8396;103.3507;105.5878;107.5634;109.9886;112.7605;116.3927;122.0085;128.1633;134.9246;136.1941;138.8781;144.3182;150.3244;154.5092;158.7889;163.6609;170.0814;176.0861;185.1268;192.9178;192.2199;202.7812;212.5958;220.2493                                                                                                                                                                                                                                                                                                                                                            
POL.1.0.0.0.UWCD;Poland;01 Compensation of employees;Compensation of employees: total economy ;Mrd PLN;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;35.261;56.266;71.595;99.906;137.577;177.604;220.873;258.743;285.125;307.956;328.273;325.698;331.408;345.160;364.681;390.813;437.647;496.737;516.203;546.305;578.733;604.013;616.316;644.355;668.849;711.744;766.253;834.006;898.147;941.864;1014.736;1117.224;1211.071                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
PRT.1.0.0.0.UWCD;Portugal;01 Compensation of employees;Compensation of employees: total economy ;Mrd EURO-PTE;0.2319;0.2530;0.2691;0.2947;0.3235;0.3629;0.4035;0.4649;0.5049;0.5626;0.6522;0.7502;0.8790;1.0403;1.3673;1.7756;2.0627;2.4238;2.8379;3.3548;4.2697;5.2522;6.5121;7.7538;8.7011;10.4765;12.5671;14.7841;17.2173;20.9135;24.9121;29.7472;34.9000;37.0320;38.2095;41.6620;44.7602;48.5965;53.1069;57.0795;61.8204;65.3948;68.4224;69.8321;72.3617;75.7815;77.8954;81.0652;83.6769;83.6551;84.8367;81.5938;75.3134;76.2071;76.3511;78.4063;81.2135;86.0973;91.6331;97.0993;97.6251;103.0536;108.4124;112.2069                                                                                                                                                                                                                                                                                                                                                                                                  
ROM.1.0.0.0.UWCD;Romania;01 Compensation of employees;Compensation of employees: total economy ;Mrd RON;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0497;0.1070;0.2727;0.8082;1.8258;2.7473;4.1266;7.8720;14.0872;19.0171;31.8736;48.6800;60.1717;73.6759;91.0411;112.9952;132.4908;144.4190;195.7256;181.6250;190.1993;185.2302;193.8014;202.4493;218.5767;229.0295;269.6075;318.3638;365.0058;411.0813;417.8534;448.4408;492.3880;533.2562                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
SVN.1.0.0.0.UWCD;Slovenia;01 Compensation of employees;Compensation of employees: total economy ;Mrd EURO-SIT;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.49276;0.92878;2.74993;3.63084;4.52623;5.74051;6.42776;7.05756;7.67508;8.45180;9.52845;10.75578;11.81476;12.75669;13.81656;14.61402;15.65043;17.20701;18.95337;18.78673;19.01854;18.92190;18.48689;18.07342;18.40799;18.93537;19.96600;21.24603;22.81870;24.58262;25.22112;26.91202;28.12306;30.14792                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
SVK.1.0.0.0.UWCD;Slovakia;01 Compensation of employees;Compensation of employees: total economy ;Mrd EURO-SKK;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5.54888;6.43777;7.75508;8.93443;10.26569;11.14184;11.49366;12.73687;13.50020;14.63199;15.81776;16.68041;18.33409;20.15689;22.24794;24.21916;24.02845;24.93164;26.06919;26.85237;27.39944;28.56245;30.37174;31.92716;34.42615;37.33467;40.21837;40.87955;42.85463;46.96867;50.56178                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
FIN.1.0.0.0.UWCD;Finland;01 Compensation of employees;Compensation of employees: total economy ;Mrd EURO-FIM;1.2409;1.3823;1.5482;1.7255;2.0209;2.2612;2.4888;2.7250;3.0434;3.3842;3.8329;4.4020;5.1533;6.2821;7.9347;9.9400;11.4950;12.4160;13.0890;14.9690;17.5240;20.2710;22.4490;24.8770;27.7050;30.8730;33.1180;36.0650;39.8760;44.6570;48.7920;48.9000;46.2540;43.7660;44.5530;47.3510;49.3490;52.0110;56.0960;59.4640;63.2990;66.8930;69.0120;70.6800;73.6240;77.3950;81.3380;85.8950;91.5700;90.5080;91.9660;96.4540;99.8710;100.7000;100.9380;102.0840;103.7570;104.5580;108.6330;112.0010;110.5390;117.3010;122.3449;126.6270                                                                                                                                                                                                                                                                                                                                                                                  
SWE.1.0.0.0.UWCD;Sweden;01 Compensation of employees;Compensation of employees: total economy ;Mrd SEK;34.831;38.537;43.169;47.759;53.086;58.803;65.394;70.786;76.283;83.124;93.056;101.773;111.391;119.835;138.591;165.975;196.892;221.403;246.518;270.941;304.489;329.993;352.964;380.966;418.172;460.288;499.839;540.500;587.024;657.816;749.331;786.074;787.670;761.973;800.912;832.866;882.984;922.158;924.145;979.741;1075.878;1150.794;1190.524;1231.869;1272.098;1315.970;1380.103;1489.922;1565.514;1564.886;1614.251;1709.358;1777.972;1832.358;1904.145;1987.350;2085.848;2185.563;2309.070;2394.671;2422.409;2570.282;2698.796;2825.640                                                                                                                                                                                                                                                                                                                                                                      
GBR.1.0.0.0.UWCD;United Kingdom;01 Compensation of employees;Compensation of employees: total economy ;Mrd GBP;15.191;16.428;17.328;18.224;19.758;21.341;22.877;23.833;25.501;27.275;30.613;33.580;37.934;43.970;52.562;68.746;78.232;86.728;98.962;116.022;137.954;149.782;158.902;170.195;181.892;196.456;211.772;228.480;254.703;284.321;313.909;334.446;345.932;356.687;369.374;386.149;404.553;438.289;462.454;499.702;535.149;568.044;584.636;615.071;655.356;691.314;738.444;784.892;796.088;788.190;809.201;825.154;840.607;879.510;900.327;928.123;966.139;1006.539;1047.477;1097.245;1129.338;1195.754;1261.520;1311.981                                                                                                                                                                                                                                                                                                                                                                                       
MKD.1.0.0.0.UWCD;North Macedonia;01 Compensation of employees;Compensation of employees: total economy ;Mrd MKD;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;92.1835;98.0770;104.7298;106.9390;104.1160;104.5310;109.9750;107.5970;105.8780;117.8260;118.5940;139.5430;148.9280;156.4350;162.0020;163.2020;159.9070;176.3152;185.1740;201.8988;216.3658;229.0974;245.2286;258.6510;276.2238;302.3614;322.9940                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
TUR.1.0.0.0.UWCD;Turkey;01 Compensation of employees;Compensation of employees: total economy ;Mrd TRY;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.001;0.001;0.002;0.003;0.003;0.004;0.006;0.010;0.014;0.022;0.040;0.078;0.153;0.288;0.496;0.877;1.416;2.468;5.066;10.662;19.055;29.789;45.839;61.486;90.412;118.717;144.981;169.072;196.886;226.818;257.068;268.996;314.231;371.489;438.578;506.359;590.558;683.729;840.205;947.015;1129.022;1354.321;1483.896;1949.628;3199.743;5367.211                                                                                                                                                                                                                                                                                                                                                                                                                                                             
