			"IFERROR(INDEX('A00 VaN'!$I$5:$BY$1439,MATCH($A4&$B4,'A00 VaN'!$CA$5:$CA$1439,0),MATCH($C4,'A00 VaN'!$I$4:$BY$4,0)),"""")"	"IFERROR(INDEX('A00 VaR'!$I$5:$BY$1439,MATCH($A4&$B4,'A00 VaR'!$CA$5:$CA$1439,0),MATCH($C4,'A00 VaR'!$I$4:$BY$4,0)),"""")"	"IFERROR(INDEX('A00 EmA'!$I$5:$BY$1439,MATCH($A4&$B4,'A00 EmA'!$CA$5:$CA$1439,0),MATCH($C4,'A00 EmA'!$I$4:$BY$4,0)),"""")"	"IFERROR(INDEX('A00 HrA'!$I$5:$BY$1439,MATCH($A4&$B4,'A00 HrA'!$CA$5:$CA$1439,0),MATCH($C4,'A00 HrA'!$I$4:$BY$4,0)),"""")"	"IFERROR(INDEX('A00 CmA'!$I$5:$BY$1439,MATCH($A4&$B4,'A00 CmA'!$CA$5:$CA$1439,0),MATCH($C4,'A00 CmA'!$I$4:$BY$4,0)),"""")"	"IFERROR(INDEX('A00 XR'!$C$5:$BS$45,MATCH($A4,'A00 XR'!$A$5:$A$45,0),MATCH($C4,'A00 XR'!$C$4:$BS$4,0)),"""")"	"IFERROR(INDEX('A00 CPI'!$C$5:$BS$45,MATCH($A4,'A00 CPI'!$A$5:$A$45,0),MATCH($C4,'A00 CPI'!$C$4:$BS$4,0)),"""")"
AUS	C	1982	"29,798"	"79,633"	"1,383"	"2,467"	"24,180"	1.017	33.429
AUS	C	1983	"30,507"	"73,083"	"1,254"	"2,236"	"25,677"	0.902	36.785
AUS	C	1984	"34,237"	"74,192"	"1,188"	"2,117"	"26,969"	0.880	38.241
AUS	C	1985	"37,506"	"77,982"	"1,193"	"2,127"	"29,344"	0.701	40.817
AUS	C	1986	"40,919"	"78,479"	"1,185"	"2,108"	"31,483"	0.671	44.511
AUS	C	1987	"42,914"	"80,626"	"1,175"	"2,114"	"32,715"	0.701	48.309
AUS	C	1988	"47,717"	"86,003"	"1,213"	"2,202"	"33,347"	0.784	51.795
AUS	C	1989	"52,168"	"90,957"	"1,255"	"2,275"	"33,942"	0.792	55.697
AUS	C	1990	"55,841"	"89,885"	"1,257"	"2,329"	"36,520"	0.781	59.781
AUS	C	1991	"52,226"	"87,906"	"1,206"	"2,203"	"36,392"	0.779	61.681
AUS	C	1992	"53,276"	"85,298"	"1,148"	"2,087"	"36,161"	0.735	62.305
AUS	C	1993	"57,224"	"87,120"	"1,153"	"2,111"	"37,855"	0.680	63.398
AUS	C	1994	"61,661"	"91,007"	"1,146"	"2,133"	"38,891"	0.732	64.646
AUS	C	1995	"65,075"	"92,939"	"1,174"	"2,197"	"40,714"	0.741	67.638
AUS	C	1996	"67,407"	"95,103"	"1,146"	"2,138"	"43,406"	0.783	69.407
AUS	C	1997	"68,497"	"96,647"	"1,134"	"2,122"	"43,892"	0.744	69.563
AUS	C	1998	"73,481"	"99,743"	"1,141"	"2,124"	"46,372"	0.629	70.161
AUS	C	1999	"74,283"	"102,362"	"1,094"	"2,043"	"47,177"	0.645	71.202
AUS	C	2000	"76,653"	"103,718"	"1,072"	"1,986"	"47,933"	0.582	74.376
AUS	C	2001	"77,580"	"105,919"	"1,041"	"1,936"	"49,819"	0.518	77.653
AUS	C	2002	"79,646"	"108,828"	"1,010"	"1,871"	"50,508"	0.544	79.969
AUS	C	2003	"87,067"	"113,023"	"1,023"	"1,898"	"54,397"	0.652	82.154
AUS	C	2004	"93,771"	"114,462"	990	"1,830"	"56,013"	0.737	84.079
AUS	C	2005	"95,337"	"113,335"	"1,009"	"1,860"	"59,414"	0.764	86.342
AUS	C	2006	"98,515"	"112,608"	"1,011"	"1,853"	"60,757"	0.753	89.412
AUS	C	2007	"100,845"	"114,935"	"1,006"	"1,828"	"63,479"	0.839	91.493
AUS	C	2008	"108,261"	"119,508"	"1,008"	"1,831"	"67,643"	0.855	95.473
AUS	C	2009	"106,357"	"113,376"	991	"1,800"	"66,962"	0.791	97.164
AUS	C	2010	"103,965"	"113,826"	974	"1,762"	"65,213"	0.919	100.000
AUS	C	2011	"104,144"	"113,537"	944	"1,705"	"67,100"	1.032	103.304
AUS	C	2012	"105,414"	"114,567"	927	"1,684"	"71,535"	1.036	105.125
AUS	C	2013	"101,365"	"110,880"	901	"1,632"	"70,690"	0.968	107.700
AUS	C	2014	"101,638"	"109,685"	892	"1,600"	"71,628"	0.903	110.380
AUS	C	2015	"102,192"	"107,943"	871	"1,578"	"70,744"	0.753	112.045
AUS	C	2016	"100,933"	"105,310"	867	"1,548"	"70,801"	0.744	113.476
AUS	C	2017	"102,191"	"104,668"	859	"1,544"	"70,363"	0.767	115.687
AUS	C	2018	"106,848"	"106,848"	875	"1,563"	"74,001"	0.748	117.898
AUS	10-12	1950						1.120	4.553
AUS	10-12	1951						1.121	5.437
AUS	10-12	1952						1.121	6.374
AUS	10-12	1953						1.121	6.660
AUS	10-12	1954						1.121	6.764
AUS	10-12	1955						1.121	6.868
AUS	10-12	1956						1.121	7.258
AUS	10-12	1957						1.121	7.466
AUS	10-12	1958						1.121	7.518
AUS	10-12	1959						1.121	7.674
AUS	10-12	1960						1.121	7.960
AUS	10-12	1961						1.121	8.143
AUS	10-12	1962						1.121	8.117
AUS	10-12	1963						1.121	8.169
AUS	10-12	1964						1.121	8.403
AUS	10-12	1965						1.121	8.689
AUS	10-12	1966						1.121	8.975
AUS	10-12	1967						1.121	9.287
AUS	10-12	1968						1.121	9.521
AUS	10-12	1969						1.121	9.834
AUS	10-12	1970						1.121	10.172
AUS	10-12	1971	"1,401"	"13,095"	350	598	"1,058"	1.134	10.796
AUS	10-12	1972	"1,562"	"13,684"	359	613	"1,210"	1.193	11.446
AUS	10-12	1973	"1,793"	"14,738"	362	618	"1,376"	1.423	12.487
AUS	10-12	1974	"1,889"	"14,237"	364	621	"1,713"	1.437	14.412
AUS	10-12	1975	"2,394"	"15,713"	351	599	"2,176"	1.310	16.597
AUS	10-12	1976	"2,706"	"16,076"	351	600	"2,486"	1.223	18.809
AUS	10-12	1977	"3,020"	"16,407"	350	597	"2,802"	1.110	21.124
AUS	10-12	1978	"3,220"	"15,905"	347	593	"3,059"	1.145	22.815
AUS	10-12	1979	"3,490"	"16,083"	337	575	"3,244"	1.119	24.896
AUS	10-12	1980	"3,993"	"16,136"	331	565	"3,522"	1.140	27.419
AUS	10-12	1981	"4,606"	"16,419"	326	557	"4,028"	1.149	30.021
AUS	10-12	1982	"5,005"	"16,541"	317	541	"4,445"	1.017	33.429
AUS	10-12	1983	"5,895"	"16,568"	310	529	"5,047"	0.902	36.785
AUS	10-12	1984	"6,283"	"16,522"	301	514	"5,372"	0.880	38.241
AUS	10-12	1985	"6,865"	"16,708"	296	506	"5,772"	0.701	40.817
AUS	10-12	1986	"7,474"	"16,375"	291	488	"6,173"	0.671	44.511
AUS	10-12	1987	"7,824"	"17,442"	290	494	"6,353"	0.701	48.309
AUS	10-12	1988	"8,528"	"18,346"	302	520	"6,326"	0.784	51.795
AUS	10-12	1989	"9,189"	"18,742"	305	524	"6,497"	0.792	55.697
AUS	10-12	1990	"9,729"	"18,778"	308	543	"7,005"	0.781	59.781
AUS	10-12	1991	"9,328"	"19,369"	296	517	"7,136"	0.779	61.681
AUS	10-12	1992	"9,771"	"19,289"	309	540	"7,238"	0.735	62.305
AUS	10-12	1993	"10,794"	"19,609"	315	555	"7,780"	0.680	63.398
AUS	10-12	1994	"10,949"	"19,799"	295	523	"8,299"	0.732	64.646
AUS	10-12	1995	"12,379"	"20,697"	312	548	"8,209"	0.741	67.638
AUS	10-12	1996	"12,928"	"21,595"	305	532	"8,824"	0.783	69.407
AUS	10-12	1997	"12,874"	"21,724"	302	526	"8,926"	0.744	69.563
AUS	10-12	1998	"14,504"	"23,109"	304	527	"9,690"	0.629	70.161
AUS	10-12	1999	"15,291"	"24,209"	291	508	"10,075"	0.645	71.202
AUS	10-12	2000	"15,694"	"24,636"	285	491	"10,150"	0.582	74.376
AUS	10-12	2001	"16,034"	"25,608"	277	481	"10,826"	0.518	77.653
AUS	10-12	2002	"16,387"	"25,991"	269	464	"11,287"	0.544	79.969
AUS	10-12	2003	"17,567"	"26,132"	273	472	"11,972"	0.652	82.154
AUS	10-12	2004	"18,768"	"26,243"	264	455	"12,219"	0.737	84.079
AUS	10-12	2005	"19,897"	"26,616"	270	463	"12,573"	0.764	86.342
AUS	10-12	2006	"20,560"	"26,274"	269	459	"12,101"	0.753	89.412
AUS	10-12	2007	"20,430"	"26,502"	269	449	"13,329"	0.839	91.493
AUS	10-12	2008	"22,074"	"27,350"	270	449	"14,374"	0.855	95.473
AUS	10-12	2009	"22,863"	"26,129"	264	443	"14,698"	0.791	97.164
AUS	10-12	2010	"25,175"	"28,780"	251	418	"14,471"	0.919	100.000
AUS	10-12	2011	"24,499"	"27,965"	241	395	"14,642"	1.032	103.304
AUS	10-12	2012	"26,273"	"30,249"	244	405	"15,933"	1.036	105.125
AUS	10-12	2013	"27,055"	"30,801"	241	395	"16,197"	0.968	107.700
AUS	10-12	2014	"27,480"	"30,748"	249	408	"16,777"	0.903	110.380
AUS	10-12	2015	"27,225"	"29,014"	241	406	"16,941"	0.753	112.045
AUS	10-12	2016	"26,120"	"26,950"	259	423	"17,646"	0.744	113.476
AUS	10-12	2017	"25,945"	"26,574"	259	425	"17,855"	0.767	115.687
AUS	10-12	2018	"26,327"	"26,852"	258	422	"18,398"	0.748	117.898
AUS	10	1950						1.120	4.553
AUS	10	1951						1.121	5.437
AUS	10	1952						1.121	6.374
AUS	10	1953						1.121	6.660
AUS	10	1954						1.121	6.764
AUS	10	1955						1.121	6.868
AUS	10	1956						1.121	7.258
AUS	10	1957						1.121	7.466
AUS	10	1958						1.121	7.518
AUS	10	1959						1.121	7.674
AUS	10	1960						1.121	7.960
AUS	10	1961						1.121	8.143
AUS	10	1962						1.121	8.117
AUS	10	1963						1.121	8.169
AUS	10	1964						1.121	8.403
AUS	10	1965						1.121	8.689
AUS	10	1966						1.121	8.975
AUS	10	1967						1.121	9.287
AUS	10	1968						1.121	9.521
AUS	10	1969						1.121	9.834
AUS	10	1970						1.121	10.172
AUS	10	1971						1.134	10.796
AUS	10	1972						1.193	11.446
AUS	10	1973						1.423	12.487
AUS	10	1974						1.437	14.412
AUS	10	1975						1.310	16.597
AUS	10	1976						1.223	18.809
AUS	10	1977						1.110	21.124
AUS	10	1978						1.145	22.815
AUS	10	1979						1.119	24.896
AUS	10	1980						1.140	27.419
AUS	10	1981						1.149	30.021
AUS	10	1982						1.017	33.429
AUS	10	1983						0.902	36.785
AUS	10	1984						0.880	38.241
AUS	10	1985						0.701	40.817
AUS	10	1986						0.671	44.511
AUS	10	1987						0.701	48.309
AUS	10	1988						0.784	51.795
AUS	10	1989						0.792	55.697
AUS	10	1990						0.781	59.781
AUS	10	1991						0.779	61.681
AUS	10	1992						0.735	62.305
AUS	10	1993						0.680	63.398
AUS	10	1994						0.732	64.646
AUS	10	1995			271		"6,655"	0.741	67.638
AUS	10	1996			264		"7,211"	0.783	69.407
AUS	10	1997			262		"7,358"	0.744	69.563
AUS	10	1998			263		"7,989"	0.629	70.161
AUS	10	1999			252		"8,260"	0.645	71.202
AUS	10	2000			248		"8,255"	0.582	74.376
AUS	10	2001			240		"8,822"	0.518	77.653
AUS	10	2002			233		"9,170"	0.544	79.969
AUS	10	2003			236		"9,809"	0.652	82.154
AUS	10	2004			229		"9,903"	0.737	84.079
AUS	10	2005			234		"10,194"	0.764	86.342
AUS	10	2006			233		"9,859"	0.753	89.412
AUS	10	2007	"14,680"	"18,299"	233		"10,850"	0.839	91.493
AUS	10	2008	"16,115"	"19,158"	234		"11,836"	0.855	95.473
AUS	10	2009	"16,826"	"18,412"	229		"12,005"	0.791	97.164
AUS	10	2010	"18,077"	"19,897"	217		"11,950"	0.919	100.000
AUS	10	2011	"18,094"	"20,150"	210		"12,072"	1.032	103.304
AUS	10	2012	"18,684"	"21,196"	214		"13,070"	1.036	105.125
AUS	10	2013	"19,307"	"21,993"	213		"13,098"	0.968	107.700
AUS	10	2014	"19,454"	"21,828"	217		"13,521"	0.903	110.380
AUS	10	2015	"19,867"	"21,187"	208		"13,787"	0.753	112.045
AUS	10	2016	"20,211"	"20,858"	228		"14,617"	0.744	113.476
AUS	10	2017	"20,454"	"20,950"	224		"14,819"	0.767	115.687
AUS	10	2018	"20,902"	"21,420"	228		"15,415"	0.748	117.898
AUS	11	1950						1.120	4.553
AUS	11	1951						1.121	5.437
AUS	11	1952						1.121	6.374
AUS	11	1953						1.121	6.660
AUS	11	1954						1.121	6.764
AUS	11	1955						1.121	6.868
AUS	11	1956						1.121	7.258
AUS	11	1957						1.121	7.466
AUS	11	1958						1.121	7.518
AUS	11	1959						1.121	7.674
AUS	11	1960						1.121	7.960
AUS	11	1961						1.121	8.143
AUS	11	1962						1.121	8.117
AUS	11	1963						1.121	8.169
AUS	11	1964						1.121	8.403
AUS	11	1965						1.121	8.689
AUS	11	1966						1.121	8.975
AUS	11	1967						1.121	9.287
AUS	11	1968						1.121	9.521
AUS	11	1969						1.121	9.834
AUS	11	1970						1.121	10.172
AUS	11	1971						1.134	10.796
AUS	11	1972						1.193	11.446
AUS	11	1973						1.423	12.487
AUS	11	1974						1.437	14.412
AUS	11	1975						1.310	16.597
AUS	11	1976						1.223	18.809
AUS	11	1977						1.110	21.124
AUS	11	1978						1.145	22.815
AUS	11	1979						1.119	24.896
AUS	11	1980						1.140	27.419
AUS	11	1981						1.149	30.021
AUS	11	1982						1.017	33.429
AUS	11	1983						0.902	36.785
AUS	11	1984						0.880	38.241
AUS	11	1985						0.701	40.817
AUS	11	1986						0.671	44.511
AUS	11	1987						0.701	48.309
AUS	11	1988						0.784	51.795
AUS	11	1989						0.792	55.697
AUS	11	1990						0.781	59.781
AUS	11	1991						0.779	61.681
AUS	11	1992						0.735	62.305
AUS	11	1993						0.680	63.398
AUS	11	1994						0.732	64.646
AUS	11	1995			41		"1,554"	0.741	67.638
AUS	11	1996			41		"1,613"	0.783	69.407
AUS	11	1997			40		"1,568"	0.744	69.563
AUS	11	1998			40		"1,701"	0.629	70.161
AUS	11	1999			39		"1,815"	0.645	71.202
AUS	11	2000			38		"1,895"	0.582	74.376
AUS	11	2001			37		"2,004"	0.518	77.653
AUS	11	2002			36		"2,117"	0.544	79.969
AUS	11	2003			36		"2,163"	0.652	82.154
AUS	11	2004			35		"2,315"	0.737	84.079
AUS	11	2005			36		"2,379"	0.764	86.342
AUS	11	2006			36		"2,243"	0.753	89.412
AUS	11	2007	"5,750"	"8,411"	36		"2,478"	0.839	91.493
AUS	11	2008	"5,959"	"8,398"	36		"2,538"	0.855	95.473
AUS	11	2009	"6,037"	"7,918"	35		"2,693"	0.791	97.164
AUS	11	2010	"7,098"	"9,100"	33		"2,522"	0.919	100.000
AUS	11	2011	"6,405"	"7,935"	31		"2,570"	1.032	103.304
AUS	11	2012	"7,589"	"9,216"	30		"2,863"	1.036	105.125
AUS	11	2013	"7,748"	"8,962"	28		"3,099"	0.968	107.700
AUS	11	2014	"8,026"	"9,088"	33		"3,257"	0.903	110.380
AUS	11	2015	"7,358"	"7,941"	34		"3,154"	0.753	112.045
AUS	11	2016	"5,910"	"6,118"	30		"3,029"	0.744	113.476
AUS	11	2017	"5,491"	"5,624"	35		"3,036"	0.767	115.687
AUS	11	2018	"5,425"	"5,431"	30		"2,983"	0.748	117.898
AUS	12	1950						1.120	4.553
AUS	12	1951						1.121	5.437
AUS	12	1952						1.121	6.374
AUS	12	1953						1.121	6.660
AUS	12	1954						1.121	6.764
AUS	12	1955						1.121	6.868
AUS	12	1956						1.121	7.258
AUS	12	1957						1.121	7.466
AUS	12	1958						1.121	7.518
AUS	12	1959						1.121	7.674
AUS	12	1960						1.121	7.960
AUS	12	1961						1.121	8.143
AUS	12	1962						1.121	8.117
AUS	12	1963						1.121	8.169
AUS	12	1964						1.121	8.403
AUS	12	1965						1.121	8.689
AUS	12	1966						1.121	8.975
AUS	12	1967						1.121	9.287
AUS	12	1968						1.121	9.521
AUS	12	1969						1.121	9.834
AUS	12	1970						1.121	10.172
AUS	12	1971						1.134	10.796
AUS	12	1972						1.193	11.446
AUS	12	1973						1.423	12.487
AUS	12	1974						1.437	14.412
AUS	12	1975						1.310	16.597
AUS	12	1976						1.223	18.809
AUS	12	1977						1.110	21.124
AUS	12	1978						1.145	22.815
AUS	12	1979						1.119	24.896
AUS	12	1980						1.140	27.419
AUS	12	1981						1.149	30.021
AUS	12	1982						1.017	33.429
AUS	12	1983						0.902	36.785
AUS	12	1984						0.880	38.241
AUS	12	1985						0.701	40.817
AUS	12	1986						0.671	44.511
AUS	12	1987						0.701	48.309
AUS	12	1988						0.784	51.795
AUS	12	1989						0.792	55.697
AUS	12	1990						0.781	59.781
AUS	12	1991						0.779	61.681
AUS	12	1992						0.735	62.305
AUS	12	1993						0.680	63.398
AUS	12	1994						0.732	64.646
AUS	12	1995						0.741	67.638
AUS	12	1996						0.783	69.407
AUS	12	1997						0.744	69.563
AUS	12	1998						0.629	70.161
AUS	12	1999						0.645	71.202
AUS	12	2000						0.582	74.376
AUS	12	2001						0.518	77.653
AUS	12	2002						0.544	79.969
AUS	12	2003						0.652	82.154
AUS	12	2004						0.737	84.079
AUS	12	2005						0.764	86.342
AUS	12	2006						0.753	89.412
AUS	12	2007						0.839	91.493
AUS	12	2008						0.855	95.473
AUS	12	2009						0.791	97.164
AUS	12	2010						0.919	100.000
AUS	12	2011						1.032	103.304
AUS	12	2012						1.036	105.125
AUS	12	2013						0.968	107.700
AUS	12	2014						0.903	110.380
AUS	12	2015						0.753	112.045
AUS	12	2016						0.744	113.476
AUS	12	2017						0.767	115.687
AUS	12	2018						0.748	117.898
AUS	13-15	1950						1.120	4.553
AUS	13-15	1951						1.121	5.437
AUS	13-15	1952						1.121	6.374
AUS	13-15	1953						1.121	6.660
AUS	13-15	1954						1.121	6.764
AUS	13-15	1955						1.121	6.868
AUS	13-15	1956						1.121	7.258
AUS	13-15	1957						1.121	7.466
AUS	13-15	1958						1.121	7.518
AUS	13-15	1959						1.121	7.674
AUS	13-15	1960						1.121	7.960
AUS	13-15	1961						1.121	8.143
AUS	13-15	1962						1.121	8.117
AUS	13-15	1963						1.121	8.169
AUS	13-15	1964						1.121	8.403
AUS	13-15	1965						1.121	8.689
AUS	13-15	1966						1.121	8.975
AUS	13-15	1967						1.121	9.287
AUS	13-15	1968						1.121	9.521
AUS	13-15	1969						1.121	9.834
AUS	13-15	1970						1.121	10.172
AUS	13-15	1971	932	"6,594"	104	193	598	1.134	10.796
AUS	13-15	1972	988	"6,602"	101	187	642	1.193	11.446
AUS	13-15	1973	"1,082"	"6,811"	97	181	694	1.423	12.487
AUS	13-15	1974	"1,256"	"7,048"	97	180	829	1.437	14.412
AUS	13-15	1975	"1,206"	"5,734"	79	147	"1,017"	1.310	16.597
AUS	13-15	1976	"1,403"	"5,807"	78	146	"1,135"	1.223	18.809
AUS	13-15	1977	"1,601"	"5,971"	73	135	"1,256"	1.110	21.124
AUS	13-15	1978	"1,739"	"5,979"	70	130	"1,349"	1.145	22.815
AUS	13-15	1979	"1,913"	"6,344"	69	129	"1,412"	1.119	24.896
AUS	13-15	1980	"2,054"	"6,458"	69	128	"1,544"	1.140	27.419
AUS	13-15	1981	"2,321"	"6,575"	68	126	"1,725"	1.149	30.021
AUS	13-15	1982	"2,607"	"6,629"	67	124	"1,920"	1.017	33.429
AUS	13-15	1983	"2,592"	"6,212"	60	112	"1,999"	0.902	36.785
AUS	13-15	1984	"2,963"	"6,614"	61	113	"2,223"	0.880	38.241
AUS	13-15	1985	"3,301"	"6,962"	63	117	"2,433"	0.701	40.817
AUS	13-15	1986	"3,652"	"7,408"	63	115	"2,583"	0.671	44.511
AUS	13-15	1987	"3,874"	"7,344"	62	113	"2,651"	0.701	48.309
AUS	13-15	1988	"3,874"	"7,487"	62	115	"2,646"	0.784	51.795
AUS	13-15	1989	"3,898"	"7,578"	63	116	"2,642"	0.792	55.697
AUS	13-15	1990	"3,902"	"6,771"	62	119	"2,824"	0.781	59.781
AUS	13-15	1991	"3,586"	"6,625"	55	101	"2,669"	0.779	61.681
AUS	13-15	1992	"3,588"	"6,224"	54	100	"2,624"	0.735	62.305
AUS	13-15	1993	"3,772"	"6,018"	50	95	"2,704"	0.680	63.398
AUS	13-15	1994	"3,906"	"5,940"	56	107	"2,564"	0.732	64.646
AUS	13-15	1995	"3,747"	"6,004"	53	100	"2,746"	0.741	67.638
AUS	13-15	1996	"3,840"	"5,695"	52	98	"2,745"	0.783	69.407
AUS	13-15	1997	"3,792"	"5,531"	52	100	"2,902"	0.744	69.563
AUS	13-15	1998	"3,837"	"5,648"	52	99	"2,900"	0.629	70.161
AUS	13-15	1999	"3,829"	"5,666"	50	97	"2,750"	0.645	71.202
AUS	13-15	2000	"3,532"	"5,732"	49	89	"2,537"	0.582	74.376
AUS	13-15	2001	"3,219"	"5,392"	48	87	"2,361"	0.518	77.653
AUS	13-15	2002	"3,067"	"4,933"	46	85	"2,322"	0.544	79.969
AUS	13-15	2003	"3,160"	"4,537"	47	85	"2,367"	0.652	82.154
AUS	13-15	2004	"3,469"	"4,236"	45	81	"2,271"	0.737	84.079
AUS	13-15	2005	"2,857"	"3,355"	46	82	"2,170"	0.764	86.342
AUS	13-15	2006	"2,952"	"3,111"	46	81	"2,178"	0.753	89.412
AUS	13-15	2007	"2,786"	"3,078"	46	76	"2,122"	0.839	91.493
AUS	13-15	2008	"3,011"	"3,314"	46	79	"2,144"	0.855	95.473
AUS	13-15	2009	"2,914"	"3,016"	45	79	"2,246"	0.791	97.164
AUS	13-15	2010	"3,048"	"3,406"	45	76	"1,961"	0.919	100.000
AUS	13-15	2011	"2,945"	"3,353"	41	69	"1,900"	1.032	103.304
AUS	13-15	2012	"2,883"	"3,227"	42	71	"1,928"	1.036	105.125
AUS	13-15	2013	"2,732"	"3,031"	39	65	"1,906"	0.968	107.700
AUS	13-15	2014	"2,634"	"2,912"	38	64	"1,852"	0.903	110.380
AUS	13-15	2015	"2,718"	"2,919"	39	64	"1,832"	0.753	112.045
AUS	13-15	2016	"2,483"	"2,568"	36	58	"1,767"	0.744	113.476
AUS	13-15	2017	"2,500"	"2,561"	39	62	"1,724"	0.767	115.687
AUS	13-15	2018	"2,509"	"2,625"	36	56	"1,677"	0.748	117.898
AUS	13	1950						1.120	4.553
AUS	13	1951						1.121	5.437
AUS	13	1952						1.121	6.374
AUS	13	1953						1.121	6.660
AUS	13	1954						1.121	6.764
AUS	13	1955						1.121	6.868
AUS	13	1956						1.121	7.258
AUS	13	1957						1.121	7.466
AUS	13	1958						1.121	7.518
AUS	13	1959						1.121	7.674
AUS	13	1960						1.121	7.960
AUS	13	1961						1.121	8.143
AUS	13	1962						1.121	8.117
AUS	13	1963						1.121	8.169
AUS	13	1964						1.121	8.403
AUS	13	1965						1.121	8.689
AUS	13	1966						1.121	8.975
AUS	13	1967						1.121	9.287
AUS	13	1968						1.121	9.521
AUS	13	1969						1.121	9.834
AUS	13	1970						1.121	10.172
AUS	13	1971						1.134	10.796
AUS	13	1972						1.193	11.446
AUS	13	1973						1.423	12.487
AUS	13	1974						1.437	14.412
AUS	13	1975						1.310	16.597
AUS	13	1976						1.223	18.809
AUS	13	1977						1.110	21.124
AUS	13	1978						1.145	22.815
AUS	13	1979						1.119	24.896
AUS	13	1980						1.140	27.419
AUS	13	1981						1.149	30.021
AUS	13	1982						1.017	33.429
AUS	13	1983						0.902	36.785
AUS	13	1984						0.880	38.241
AUS	13	1985						0.701	40.817
AUS	13	1986						0.671	44.511
AUS	13	1987						0.701	48.309
AUS	13	1988						0.784	51.795
AUS	13	1989						0.792	55.697
AUS	13	1990						0.781	59.781
AUS	13	1991						0.779	61.681
AUS	13	1992						0.735	62.305
AUS	13	1993						0.680	63.398
AUS	13	1994						0.732	64.646
AUS	13	1995			24		"1,401"	0.741	67.638
AUS	13	1996			24		"1,400"	0.783	69.407
AUS	13	1997			23		"1,480"	0.744	69.563
AUS	13	1998			23		"1,479"	0.629	70.161
AUS	13	1999			23		"1,403"	0.645	71.202
AUS	13	2000			22		"1,294"	0.582	74.376
AUS	13	2001			22		"1,204"	0.518	77.653
AUS	13	2002			21		"1,184"	0.544	79.969
AUS	13	2003			21		"1,207"	0.652	82.154
